Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint ,Type,Your Instructions / Notes
1,"DC6,DC3,DC5,DC4,DC8,DC9,DC7,DC11,DC1,DC2",10,KEMET,C0402C104K4RAC,100nF,0402,SMD,
2,U3,1,"
Texas Instruments                                            ",TLV1117-33CDCYRG3,TLV1117-33,SOT-223,SMD,
3,"R4,R5,R3",3,SEI Stackpole,RMCF0603JJ1K00,1k,0603,SMD,
4,Y2,1,ECS Inc.,ECS-250-9-37B2-CKM-TR,25MHz 9uF,2.0x1.6mm,SMD,
5,"R15,R14,R13,R7,R16,R12,R10,R11",8,YAGEO                  ,RC0402FR-0710KL,10k,0402,SMD,
6,U1,1,STMicroelectronics              ,STM32H750VBT6TR / STM32H742VIT6,STM32H750VBTx / STM32H742VI,LQFP-100,QFP,"MCU for v1 and v2, pin compatible"
7,J2,1,On Shore Technology Inc.,302-S201,Conn_ARM_JTAG_SWD_20,THD,Through Hole,
8,"C8,C5,C6,C7,C1,C2",6,Samsung Electro-Mechanics,CL31A476MQHNNNE,47uF/3528,1206,SMD,
9,"D2,D1",2,EVERLIGHT,19-213SYGC/S530-E2/5T,LED,0603,SMD,
10,"R1,R2",2,YAGEO,RC0402FR-0722RL,22,0402,SMD,
11,"R6,R8",2,SEI Stackpole,RMCA0603JT510R,510,0603,SMD,
12,"C4,C3",2,Murata Electronics,GJM1555C1H8R0DB01D,8pF,0402,SMD,
13,J3,1,Molex,1040310811,Micro_SD_Card_Det1,,SMD,
14,D3,1,Toshiba             ,"CRS30I40A(TE85L,QM",SS34,SOD-123F,SMD,
15,"L1,L2",2,TAI-TECH,FCM1608KF-102T02,1KB,0603,SMD,
16,SW1,1,C&K,PTS636 SM43 SMTR LFS,SW_RESET,6.0x3.5mm,SMD,
17,U2,1,STMicroelectronics,USBLC6-2P6,USBLC6-2P6,SOT-666,SMD,
18,J1,1,Adam Tech,MUSB-B5-S-RA-SMT-PP-T/R,USB_B_Mini,,SMD,
19,"J4,J5",2,Sullins Connector Solutions,PPTC252LFBN-RC,Conn_02x25_Odd_Even,,Through Hole,
